"school_dbn","mean_algebra2","mean_english","school_name","percent_of_teachers_with_3_or_more_years_of_experience","percent_of_students_chronically_absent","rigorous_instruction_percent_positive","supportive_environment_percent_positive","economic_need_index"
"17K546",60.11666489,77.87387085,"High School for Public Service: Heroes of Tomorrow",0.867,0.155,0.83,0.74,0.73
"17K547",62.04000092,74.07518768,"Brooklyn Academy of Science and the Environment",0.958,0.327,0.78,0.69,0.763
"17K745",56.69230652,71.1607132,"Brooklyn Institute for Liberal Arts",0.444,0.267,0.82,0.75,0.707
"18K563",61.63414764,67.38271332,"It Takes a Village Academy",0.714,0.223,0.79,0.62,0.754
"18K567",49.79999924,63.20978928,"Brooklyn Theatre Arts High School",0.762,0.653,0.76,0.63,0.777
"18K629",55.40000153,64.28688812,"Cultural Academy for the Arts and Sciences",0.846,0.379,0.74,0.7,0.756
"18K633",66.06666565,60.14788818,"High School for Medical Professions",0.731,0.393,0.77,0.73,0.703
"18K637",51.96154022,70.09615326,"Academy for Conservation and the Environment",0.455,0.474,0.84,0.72,0.807
"18K642",50,61.94318008,"Urban Action Academy",0.75,0.613,0.72,0.62,0.789
"19K502",61.75,56.4375,"FDNY - Captain Vernon A. Richard High School for F",0.727,0.562,0.77,0.77,0.863
"19K504",57.125,46.56790161,"High School for Civil Rights",0.684,0.614,0.76,0.7,0.882
"19K507",45.75757599,60.63681412,"Performing Arts and Technology High School",0.774,0.381,0.86,0.7,0.858
"19K510",66.44444275,66.98683929,"World Academy for Total Community Health High Scho",0.684,0.588,0.8,0.76,0.858
"19K639",58.22222137,49.6603775,"Brooklyn Lab School",0.68,0.523,0.75,0.67,0.894
"19K659",53.02439117,52.52247238,"Cypress Hills Collegiate Preparatory School",0.824,0.461,0.85,0.8,0.84
"19K683",54.625,64.7425766,"The School for Classics: An Academy of Thinkers, W",0.783,0.518,0.83,0.76,0.873
"20K445",72.97698212,67.49362946,"New Utrecht High School",0.816,0.338,0.81,0.71,0.798
"20K485",70.70661163,75.22580719,"High School of Telecommunication Arts and Technolo",0.706,0.181,0.85,0.8,0.762
"20K490",75.30783844,74.42880249,"Fort Hamilton High School",0.809,0.284,0.82,0.72,0.736
"20K505",75.80915833,61.26305771,"Franklin Delano Roosevelt High School",0.829,0.396,0.74,0.69,0.872
"21K344",59.8756218,72.63636017,"Rachel Carson High School for Coastal Studies",0.833,0.465,0.8,0.74,0.749
"21K348",57.38461685,56.31182861,"High School of Sports Management",0.944,0.665,0.78,0.67,0.808
"21K410",74.28735352,69.71975708,"Abraham Lincoln High School",0.817,0.356,0.81,0.72,0.824
"21K525",70.90972137,76.56666565,"Edward R. Murrow High School",0.9,0.23,0.82,0.76,0.674
"21K540",71.6279068,64.47010803,"John Dewey High School",0.636,0.21,0.81,0.71,0.801
"21K559",77.59999847,68.79220581,"Life Academy High School for Film and Music",0.75,0.42,0.64,0.57,0.774
"22K405",78.55172729,80.21743011,"Midwood High School",0.813,0.185,0.8,0.74,0.656
"22K425",71.76781464,73.41033173,"James Madison High School",0.83,0.13,0.78,0.7,0.658
"22K535",80.40087891,87.63713074,"Leon M. Goldstein High School for the Sciences",0.893,0.088,0.78,0.73,0.446
"22K555",75.88118744,87.25325012,"Brooklyn College Academy",0.625,0.109,0.89,0.87,0.556
"22K611",55.25,64.82894897,"Origins High School",0.371,0.525,0.83,0.73,0.814
"23K493",58.16216278,66.90540314,"Brooklyn Collegiate: A College Board School",0.565,0.454,0.84,0.79,0.81
"24Q264",72.50335693,84.17262268,"Academy of Finance and Enterprise",0.844,0.244,0.85,0.77,0.69
"24Q267",61.20895386,72.23780823,"High School of Applied Communication",0.714,0.367,0.67,0.58,0.67
"24Q293",68.96491241,78.42372894,"Civic Leadership Academy",0.909,0.332,0.83,0.75,0.755
"24Q455",62.06060791,67.7480011,"Newtown High School",0.833,0.248,0.89,0.81,0.793
"24Q485",71.34693909,70.2793808,"Grover Cleveland High School",0.856,0.439,0.78,0.67,0.762
"24Q550",64.76534271,72.91912079,"High School for Arts and Business",0.854,0.249,0.87,0.81,0.745
